Accident_ID,Date,Location,Severity,Weather,Road_Condition,Vehicle_Count,Casualties
1,2024-02-22,Cassieview,Major,Clear,Icy,4,5
2,2022-10-30,West Ianbury,Minor,Clear,Snowy,5,9
3,2024-05-09,Reyesland,Major,Clear,Icy,2,9
4,2022-11-11,South Kurt,Severe,Clear,Snowy,4,5
5,2023-02-04,Lydiahaven,Fatal,Foggy,Icy,2,9
6,2023-09-14,Port Patriciabury,Fatal,Rainy,Wet,2,1
7,2022-09-07,Port Justinchester,Minor,Clear,Icy,5,8
8,2024-03-21,Webbbury,Severe,Clear,Snowy,3,3
9,2024-01-29,South Timothymouth,Major,Clear,Wet,4,0
10,2025-06-02,Lake Nicole,Minor,Snowy,Dry,3,9
11,2025-02-01,Wilsonport,Minor,Foggy,Oil Spill,2,7
12,2023-01-14,Ginamouth,Major,Rainy,Oil Spill,3,6
13,2024-04-01,West Nicholas,Severe,Foggy,Oil Spill,5,7
14,2023-09-25,Port Kayla,Severe,Clear,Oil Spill,5,0
15,2022-12-24,Nicholsonside,Severe,Stormy,Snowy,2,0
16,2023-01-04,Jacquelineton,Minor,Snowy,Snowy,3,2
17,2024-11-27,West Zacharymouth,Severe,Stormy,Wet,1,1
18,2023-11-18,Dunnland,Minor,Clear,Wet,1,9
19,2024-04-06,Ricardoland,Fatal,Foggy,Icy,3,8
20,2024-11-04,Santiagostad,Fatal,Foggy,Wet,3,10
21,2023-08-25,East Kristen,Major,Snowy,Oil Spill,1,7
22,2023-10-02,New Denisemouth,Severe,Foggy,Dry,3,3
23,2025-01-19,East Philipton,Severe,Snowy,Dry,4,2
24,2024-06-07,Churchbury,Minor,Snowy,Snowy,1,5
25,2024-08-27,New Curtis,Fatal,Foggy,Icy,3,10
26,2023-09-29,Davidstad,Major,Stormy,Snowy,4,3
27,2023-09-17,Kingfort,Fatal,Foggy,Wet,2,9
28,2023-03-13,Brennanton,Severe,Clear,Snowy,2,4
29,2023-11-01,Vargaston,Severe,Rainy,Snowy,4,4
30,2023-09-13,New Dawn,Severe,Snowy,Snowy,3,2
31,2023-02-17,East Jessicafurt,Severe,Foggy,Wet,3,3
32,2022-08-07,Port Christinemouth,Fatal,Snowy,Oil Spill,5,1
33,2024-09-20,North Jamie,Minor,Stormy,Snowy,1,7
34,2022-07-13,East Mark,Major,Stormy,Snowy,2,3
35,2025-05-05,New Holly,Severe,Foggy,Wet,1,1
36,2023-04-29,Deanmouth,Major,Stormy,Wet,2,1
37,2022-10-19,East Jasonfort,Severe,Snowy,Icy,3,9
38,2022-07-07,West Maria,Minor,Stormy,Dry,5,9
39,2025-02-08,Port Andrewstad,Minor,Clear,Icy,4,0
